row_id,label,text_length,reason,source_text,logged_at
49639,Bipolar,0,Missing translation_es for row_id=49639,,2026-06-11T12:31:56.974675+00:00
49641,Bipolar,0,Missing translation_es for row_id=49641,,2026-06-11T12:32:30.367763+00:00
49870,Bipolar,0,Missing translation_es for row_id=49870,,2026-06-11T12:52:25.192178+00:00
49879,Bipolar,0,Missing translation_es for row_id=49879,,2026-06-11T12:53:38.434351+00:00
50071,Bipolar,0,Missing translation_es for row_id=50071,,2026-06-11T13:11:09.416431+00:00
50120,Bipolar,0,Missing translation_es for row_id=50120,,2026-06-11T13:18:27.014117+00:00
50150,Bipolar,0,Missing translation_es for row_id=50150,,2026-06-11T13:21:06.574566+00:00
50163,Bipolar,0,Missing translation_es for row_id=50163,,2026-06-11T13:23:04.115655+00:00
50175,Bipolar,0,Missing translation_es for row_id=50175,,2026-06-11T13:24:39.158414+00:00
50232,Bipolar,0,Missing translation_es for row_id=50232,,2026-06-11T13:30:29.506063+00:00
50262,Bipolar,0,Missing translation_es for row_id=50262,,2026-06-11T13:33:46.498031+00:00
50279,Bipolar,0,Missing translation_es for row_id=50279,,2026-06-11T13:34:39.255187+00:00
50321,Bipolar,0,Missing translation_es for row_id=50321,,2026-06-11T13:39:41.503798+00:00
50579,Bipolar,0,Missing translation_es for row_id=50579,,2026-06-11T14:40:27.017419+00:00
50588,Bipolar,0,Missing translation_es for row_id=50588,,2026-06-12T07:51:24.756864+00:00
50663,Personality disorder,0,Missing translation_es for row_id=50663,,2026-06-11T14:48:00.295747+00:00
50671,Personality disorder,0,Missing translation_es for row_id=50671,,2026-06-11T14:49:32.297106+00:00
50757,Personality disorder,0,Missing translation_es for row_id=50757,,2026-06-11T14:55:31.155244+00:00
50862,Personality disorder,0,Missing translation_es for row_id=50862,,2026-06-11T15:08:28.605439+00:00
50892,Personality disorder,0,Missing translation_es for row_id=50892,,2026-06-11T15:12:03.695156+00:00
50966,Personality disorder,0,Missing translation_es for row_id=50966,,2026-06-11T15:18:10.824476+00:00
51050,Personality disorder,0,Missing translation_es for row_id=51050,,2026-06-11T15:26:44.018191+00:00
51056,Personality disorder,0,Missing translation_es for row_id=51056,,2026-06-11T15:28:24.723742+00:00
51191,Personality disorder,0,Missing translation_es for row_id=51191,,2026-06-11T15:45:22.393716+00:00
51230,Personality disorder,0,Missing translation_es for row_id=51230,,2026-06-11T15:51:47.956270+00:00
51319,Personality disorder,0,Missing translation_es for row_id=51319,,2026-06-11T16:00:31.506027+00:00
51325,Personality disorder,0,Missing translation_es for row_id=51325,,2026-06-11T16:01:25.598142+00:00
51368,Personality disorder,0,Missing translation_es for row_id=51368,,2026-06-11T16:07:47.271427+00:00
51434,Personality disorder,0,Missing translation_es for row_id=51434,,2026-06-11T16:15:20.026401+00:00
51472,Personality disorder,0,Missing translation_es for row_id=51472,,2026-06-11T16:19:06.728427+00:00
51495,Personality disorder,0,Missing translation_es for row_id=51495,,2026-06-11T16:21:39.220249+00:00
51499,Personality disorder,0,Missing translation_es for row_id=51499,,2026-06-11T16:22:57.605145+00:00
51627,Personality disorder,0,Missing translation_es for row_id=51627,,2026-06-11T16:33:15.362592+00:00
51632,Personality disorder,0,Missing translation_es for row_id=51632,,2026-06-11T16:33:43.091345+00:00
51671,Personality disorder,0,Missing translation_es for row_id=51671,,2026-06-11T16:38:52.274809+00:00
51684,Personality disorder,0,Missing translation_es for row_id=51684,,2026-06-11T16:39:56.054742+00:00
51746,Personality disorder,0,Missing translation_es for row_id=51746,,2026-06-11T16:44:28.878423+00:00
51749,Personality disorder,0,Missing translation_es for row_id=51749,,2026-06-11T16:45:23.617239+00:00
51757,Personality disorder,0,Missing translation_es for row_id=51757,,2026-06-11T16:46:59.487335+00:00
51763,Personality disorder,0,Missing translation_es for row_id=51763,,2026-06-11T16:47:57.810288+00:00
51823,Personality disorder,0,Missing translation_es for row_id=51823,,2026-06-11T16:54:51.004275+00:00
51825,Personality disorder,0,Missing translation_es for row_id=51825,,2026-06-11T16:55:30.750969+00:00
52936,Anxiety,0,Missing translation_es for row_id=52936,,2026-06-11T18:34:04.355119+00:00
